gender,age,maritalStatus,children,education,income,destination,passanger,weather,temperature,time,visitPub,visitCoffeeHouse,visitFastFood,visitFoodCourt,visitRestaurant,storeType,offerEndSoon,moreThan5km,moreThan15km,sameDirection,stopBy(y)
Female,31,Single,0,Associates degree,$75000 - $87499,Home,Alone,Snowy,0,22,never,rarely,often,sometimes,sometimes,Food Court,Yes,1,1,0,0
Male,21,Single,0,Bachelors degree,$100000 or More,Home,Alone,Sunny,28,18,rarely,often,sometimes,rarely,rarely,Pub,Yes,0,0,1,1
Female,41,Single,1,Bachelors degree,$75000 - $87499,Home,Alone,Sunny,28,22,rarely,rarely,sometimes,sometimes,rarely,Restaurant,No,1,0,0,1
Male,36,Single,0,College,$37500 - $49999,Others,Alone,Sunny,0,10,never,rarely,very often,very often,never,Fast Food,No,1,0,0,1
Male,21,Single,0,Bachelors degree,$50000 - $62499,Work,Alone,Sunny,28,7,rarely,never,often,rarely,never,Coffee House,Yes,0,0,1,0
Female,31,Single,0,High School Graduate,$25000 - $37499,Others,Friends,Sunny,28,14,never,sometimes,sometimes,sometimes,sometimes,Coffee House,No,1,0,0,1
Female,21,Partner,0,Bachelors degree,$37500 - $49999,Others,Partner,Rainy,13,18,never,often,sometimes,sometimes,rarely,Pub,Yes,1,0,0,0
Male,55,Married,0,College,$37500 - $49999,Work,Alone,Sunny,13,7,never,rarely,very often,very often,sometimes,Coffee House,Yes,1,1,0,1
Female,31,Single,0,Associates degree,$75000 - $87499,Home,Alone,Rainy,13,18,never,rarely,often,sometimes,sometimes,Pub,No,1,1,0,0
Female,55,Widowed,1,Associates degree,$12500 - $24999,Others,Friends,Snowy,0,14,rarely,rarely,often,sometimes,rarely,Food Court,No,0,0,0,1
Male,36,Married,1,Associates degree,$100000 or More,Work,Alone,Rainy,13,7,never,rarely,often,sometimes,rarely,Fast Food,No,0,0,0,1
Male,26,Single,0,College,$37500 - $49999,Others,Friends,Sunny,28,14,very often,very often,very often,very often,very often,Coffee House,No,0,0,0,1
Female,26,Partner,0,College,$50000 - $62499,Home,Partner,Rainy,13,18,sometimes,never,often,often,rarely,Fast Food,No,0,0,1,1
Female,31,Married,0,College,$100000 or More,Work,Alone,Sunny,13,7,rarely,rarely,very often,often,sometimes,Coffee House,No,1,1,0,1
Male,26,Single,1,College,Less than $12500,Work,Alone,Snowy,0,7,never,never,never,sometimes,never,Pub,No,1,1,0,0
Male,36,Married,0,Associates degree,$100000 or More,Work,Alone,Snowy,0,7,sometimes,sometimes,sometimes,sometimes,sometimes,Restaurant,No,1,1,0,1
Male,55,Partner,0,High School Graduate,$50000 - $62499,Home,Alone,Sunny,28,18,rarely,rarely,often,sometimes,rarely,Food Court,No,0,0,1,0
Male,18,Single,0,High School Graduate,$87500 - $99999,Others,Friends,Sunny,28,14,never,rarely,sometimes,often,often,Restaurant,No,1,0,0,0
Female,55,Single,0,High School Graduate,$37500 - $49999,Work,Alone,Sunny,28,7,rarely,rarely,rarely,rarely,sometimes,Coffee House,Yes,1,0,1,0
Female,21,Single,0,Associates degree,$25000 - $37499,Home,Partner,Sunny,0,22,often,sometimes,often,sometimes,rarely,Food Court,No,0,0,1,1
Male,26,Married,0,Bachelors degree,$62500 - $74999,Others,Partner,Sunny,28,10,never,rarely,rarely,very often,sometimes,Coffee House,Yes,1,0,0,0
Female,31,Married,1,Graduate degree,$12500 - $24999,Others,Family,Sunny,13,14,never,sometimes,rarely,sometimes,sometimes,Coffee House,No,1,0,0,0
Female,21,Partner,0,Associates degree,$75000 - $87499,Others,Partner,Sunny,28,10,never,rarely,sometimes,sometimes,rarely,Restaurant,No,0,0,0,1
Male,18,Single,0,College,$87500 - $99999,Others,Friends,Sunny,13,10,rarely,very often,sometimes,sometimes,rarely,Food Court,Yes,1,0,0,1
Female,26,Partner,0,Associates degree,$12500 - $24999,Others,Friends,Sunny,13,14,rarely,sometimes,sometimes,sometimes,sometimes,Coffee House,No,0,0,0,1
Female,21,Single,0,Bachelors degree,$12500 - $24999,Others,Friends,Sunny,13,14,never,sometimes,very often,sometimes,sometimes,Coffee House,Yes,0,0,0,1
Female,36,Married,1,Graduate degree,$87500 - $99999,Work,Alone,Sunny,13,7,rarely,rarely,sometimes,often,rarely,Food Court,No,0,0,0,1
Male,31,Married,0,Bachelors degree,$75000 - $87499,Others,Friends,Sunny,28,22,rarely,never,sometimes,sometimes,sometimes,Coffee House,No,1,0,0,1
Male,21,Single,0,Bachelors degree,$25000 - $37499,Others,Friends,Sunny,13,18,often,never,often,very often,sometimes,Fast Food,No,1,0,0,1
Male,18,Single,0,College,Less than $12500,Work,Alone,Sunny,28,7,never,rarely,very often,sometimes,never,Fast Food,No,0,0,1,1
Male,55,Married,0,College,$37500 - $49999,Others,Partner,Sunny,28,18,never,rarely,very often,very often,sometimes,Food Court,Yes,0,0,0,1
Male,31,Married,1,College,$100000 or More,Work,Alone,Sunny,28,7,sometimes,rarely,often,sometimes,often,Restaurant,Yes,0,0,1,0
Female,31,Married,0,College,$100000 or More,Work,Alone,Sunny,13,7,rarely,rarely,very often,often,sometimes,Pub,No,1,1,0,0
Male,26,Single,0,High School Graduate,$12500 - $24999,Others,Friends,Sunny,28,18,never,never,often,sometimes,never,Coffee House,Yes,0,0,0,1
Female,31,Single,0,Graduate degree,$75000 - $87499,Others,Alone,Snowy,0,10,very often,often,often,often,often,Food Court,No,1,0,0,0
Female,21,Partner,0,College,Less than $12500,Others,Partner,Snowy,0,10,sometimes,sometimes,often,sometimes,rarely,Food Court,No,0,0,0,1
Female,31,Married,0,College,$100000 or More,Work,Alone,Sunny,13,7,rarely,rarely,very often,often,rarely,Food Court,No,0,0,0,1
Male,31,Single,0,Bachelors degree,$50000 - $62499,Others,Alone,Sunny,28,22,never,never,sometimes,sometimes,sometimes,Food Court,No,0,0,0,1
Female,55,Divorced,1,Graduate degree,$12500 - $24999,Home,Alone,Sunny,28,18,sometimes,often,often,often,rarely,Coffee House,Yes,0,0,0,0
Female,21,Partner,0,Bachelors degree,$62500 - $74999,Home,Alone,Sunny,28,18,rarely,never,sometimes,rarely,never,Food Court,No,0,0,1,1
Female,26,Married,0,Graduate degree,$62500 - $74999,Home,Alone,Sunny,28,18,often,sometimes,often,often,sometimes,Coffee House,No,0,0,0,1
Female,26,Married,0,Bachelors degree,$100000 or More,Others,Friends,Sunny,13,14,never,sometimes,sometimes,often,rarely,Fast Food,No,1,0,0,1
Male,31,Single,0,College,$12500 - $24999,Work,Alone,Snowy,0,7,often,never,very often,often,never,Fast Food,No,1,0,1,1
Female,31,Single,0,Bachelors degree,$50000 - $62499,Work,Alone,Sunny,28,7,often,sometimes,sometimes,sometimes,rarely,Coffee House,Yes,1,0,1,1
Male,31,Single,0,College,$12500 - $24999,Work,Alone,Snowy,0,7,sometimes,rarely,often,rarely,never,Food Court,Yes,1,1,0,0
Male,26,Married,1,Bachelors degree,$100000 or More,Home,Alone,Sunny,28,18,sometimes,very often,often,very often,often,Coffee House,Yes,0,0,0,1
Male,55,Partner,1,Associates degree,$50000 - $62499,Work,Alone,Sunny,28,7,never,often,often,sometimes,rarely,Fast Food,Yes,0,0,1,1
Male,26,Married,0,Associates degree,$37500 - $49999,Home,Alone,Sunny,28,18,rarely,rarely,sometimes,sometimes,rarely,Pub,Yes,0,0,1,0
Female,26,Married,0,Graduate degree,$62500 - $74999,Work,Alone,Sunny,28,7,often,sometimes,often,often,sometimes,Fast Food,No,1,1,0,1
Female,26,Partner,0,Graduate degree,$37500 - $49999,Others,Partner,Sunny,28,18,never,sometimes,sometimes,sometimes,rarely,Pub,Yes,1,0,0,0
Female,26,Married,1,College,$62500 - $74999,Others,Friends,Sunny,28,14,never,rarely,very often,often,never,Coffee House,Yes,1,0,0,1
Female,21,Married,0,College,$12500 - $24999,Home,Alone,Snowy,0,22,rarely,sometimes,sometimes,sometimes,rarely,Coffee House,Yes,1,0,0,0
Male,31,Married,1,College,$37500 - $49999,Work,Alone,Sunny,28,7,never,rarely,often,rarely,rarely,Restaurant,No,1,0,0,0
Female,18,Single,0,Bachelors degree,$12500 - $24999,Home,Alone,Sunny,0,18,very often,sometimes,rarely,often,very often,Fast Food,No,0,0,0,1
Female,26,Married,0,Graduate degree,$62500 - $74999,Home,Alone,Sunny,28,22,often,sometimes,often,often,sometimes,Food Court,Yes,0,0,1,0
Male,36,Married,0,Bachelors degree,$100000 or More,Home,Alone,Sunny,28,18,rarely,sometimes,often,sometimes,sometimes,Coffee House,No,0,0,0,0
Male,26,Single,0,Bachelors degree,$75000 - $87499,Others,Partner,Rainy,13,14,never,never,rarely,rarely,rarely,Food Court,Yes,1,0,0,1
Male,31,Married,0,Bachelors degree,$75000 - $87499,Others,Partner,Sunny,0,10,sometimes,sometimes,often,often,often,Restaurant,No,0,0,0,1
Female,55,Divorced,1,Bachelors degree,Less than $12500,Others,Friends,Sunny,28,14,never,often,very often,very often,rarely,Restaurant,Yes,1,0,0,0
Male,26,Single,0,Graduate degree,$62500 - $74999,Others,Friends,Sunny,0,22,sometimes,very often,often,often,sometimes,Fast Food,No,1,0,0,1
Female,31,Single,0,High School Graduate,$25000 - $37499,Home,Alone,Snowy,0,22,never,sometimes,sometimes,sometimes,rarely,Coffee House,Yes,1,0,0,1
Male,36,Married,1,Associates degree,$87500 - $99999,Others,Friends,Sunny,0,22,never,,rarely,rarely,never,Coffee House,No,0,0,0,0
Female,31,Single,0,Bachelors degree,$25000 - $37499,Work,Alone,Sunny,13,7,often,sometimes,sometimes,often,sometimes,Food Court,No,0,0,0,1
Male,55,Married,0,College,$37500 - $49999,Work,Alone,Sunny,28,7,never,rarely,very often,very often,sometimes,Fast Food,Yes,0,0,1,1
Male,31,Married,1,College,$37500 - $49999,Others,Friends,Sunny,28,14,never,rarely,often,rarely,rarely,Coffee House,Yes,1,0,0,0
Female,55,Divorced,1,College,$12500 - $24999,Home,Alone,Snowy,0,22,never,rarely,sometimes,sometimes,rarely,Fast Food,No,1,1,0,1
Female,21,Single,0,High School Graduate,Less than $12500,Others,Alone,Sunny,28,10,sometimes,often,very often,very often,often,Coffee House,Yes,1,0,0,1
Female,21,Married,1,Bachelors degree,$37500 - $49999,Others,Alone,Sunny,28,10,never,rarely,sometimes,sometimes,rarely,Food Court,Yes,0,0,0,1
Male,41,Single,0,High School Graduate,$12500 - $24999,Home,Alone,Sunny,13,18,rarely,sometimes,sometimes,rarely,never,Restaurant,No,1,0,0,0
Male,21,Single,0,College,$25000 - $37499,Others,Friends,Sunny,13,14,rarely,sometimes,sometimes,sometimes,rarely,Fast Food,No,1,0,0,1
Male,26,Married,1,Bachelors degree,$12500 - $24999,Others,Alone,Sunny,28,10,sometimes,often,sometimes,sometimes,,Coffee House,Yes,1,0,0,0
Male,21,Single,0,High School Graduate,$50000 - $62499,Home,Alone,Sunny,28,18,never,sometimes,very often,often,never,Food Court,Yes,0,0,1,1
Female,26,Married,0,Associates degree,$37500 - $49999,Others,Friends,Sunny,28,14,rarely,sometimes,sometimes,sometimes,sometimes,Restaurant,Yes,1,0,0,1
Female,31,Married,0,College,$50000 - $62499,Home,Alone,Sunny,28,22,never,never,sometimes,very often,sometimes,Fast Food,No,0,0,1,1
Male,41,Married,1,Graduate degree,$50000 - $62499,Work,Alone,Sunny,13,7,rarely,often,often,sometimes,rarely,Pub,No,1,1,0,1
Female,41,Married,1,Graduate degree,$75000 - $87499,Others,Alone,Sunny,13,18,rarely,often,very often,sometimes,rarely,Coffee House,Yes,0,0,0,1
Male,26,Single,0,Graduate degree,$25000 - $37499,Others,Friends,Sunny,28,14,often,very often,very often,often,rarely,Food Court,Yes,1,0,0,0
Male,21,Single,1,College,$62500 - $74999,Work,Alone,Rainy,13,7,never,never,often,sometimes,sometimes,Fast Food,Yes,1,0,1,1
Male,21,Single,0,High School Graduate,$25000 - $37499,Work,Alone,Sunny,28,7,rarely,sometimes,often,sometimes,rarely,Fast Food,No,1,1,0,0
Female,26,Single,0,College,$25000 - $37499,Others,Friends,Sunny,28,10,sometimes,sometimes,sometimes,sometimes,rarely,Pub,No,0,0,0,1
Female,41,Married,0,College,$87500 - $99999,Others,Friends,Sunny,0,10,sometimes,sometimes,often,often,sometimes,Fast Food,Yes,0,0,0,0
Female,31,Married,0,College,$100000 or More,Work,Alone,Sunny,13,7,rarely,rarely,sometimes,very often,rarely,Coffee House,Yes,1,0,0,0
Male,31,Single,0,High School Graduate,$25000 - $37499,Home,Alone,Sunny,13,22,sometimes,never,often,sometimes,rarely,Fast Food,No,1,1,0,1
Female,41,Married,1,Graduate degree,$75000 - $87499,Others,Family,Rainy,13,18,rarely,sometimes,very often,often,rarely,Fast Food,Yes,1,0,0,1
Female,26,Married,1,Bachelors degree,$37500 - $49999,Others,Family,Sunny,28,10,never,sometimes,sometimes,sometimes,rarely,Pub,No,1,0,0,1
Female,21,Single,0,Bachelors degree,$50000 - $62499,Home,Alone,Sunny,28,18,rarely,very often,very often,very often,often,Fast Food,No,0,0,0,1
Male,55,Married,1,Associates degree,$37500 - $49999,Others,Friends,Sunny,28,14,never,never,often,often,never,Restaurant,Yes,1,0,0,0
Male,26,Partner,0,College,$50000 - $62499,Others,Partner,Sunny,28,10,sometimes,often,very often,sometimes,sometimes,Coffee House,Yes,0,0,0,1
Female,55,Married,1,Bachelors degree,$50000 - $62499,Work,Alone,Sunny,13,7,never,never,rarely,rarely,rarely,Food Court,No,0,0,0,1
Male,26,Single,0,Graduate degree,$37500 - $49999,Home,Alone,Snowy,0,22,often,sometimes,often,sometimes,rarely,Food Court,Yes,1,1,0,0
Female,41,Single,1,College,$25000 - $37499,Others,Friends,Sunny,28,10,rarely,rarely,rarely,rarely,never,Coffee House,Yes,0,0,0,1
Female,55,Married,1,College,$75000 - $87499,Work,Alone,Sunny,13,7,never,never,often,very often,rarely,Coffee House,Yes,1,0,0,0
Female,26,Single,0,Bachelors degree,$12500 - $24999,Work,Alone,Snowy,0,7,rarely,rarely,rarely,rarely,rarely,Pub,No,1,1,0,0
Female,41,Married,1,College,$25000 - $37499,Others,Family,Sunny,13,18,never,never,often,sometimes,rarely,Coffee House,Yes,1,0,0,0
Male,18,Partner,0,College,$25000 - $37499,Others,Partner,Snowy,0,10,never,never,sometimes,rarely,never,Food Court,No,0,0,0,1
Male,31,Partner,0,Bachelors degree,$12500 - $24999,Others,Partner,Sunny,13,14,never,rarely,sometimes,sometimes,never,Pub,No,0,0,0,0
Male,36,Married,1,Associates degree,$87500 - $99999,Work,Alone,Rainy,13,7,never,,rarely,rarely,never,Pub,No,0,0,0,1
Female,31,Partner,0,College,$75000 - $87499,Others,Friends,Sunny,28,18,rarely,sometimes,very often,often,sometimes,Food Court,Yes,1,0,0,1
Male,26,Single,0,Bachelors degree,$100000 or More,Others,Friends,Sunny,28,14,often,sometimes,rarely,sometimes,rarely,Restaurant,Yes,1,0,0,1
Female,31,Married,1,Bachelors degree,$37500 - $49999,Others,Friends,Sunny,0,10,never,rarely,very often,often,rarely,Fast Food,Yes,0,0,0,1
Male,31,Married,1,Bachelors degree,$75000 - $87499,Home,Alone,Sunny,28,18,never,never,sometimes,sometimes,never,Coffee House,No,0,0,1,0
Male,36,Single,0,College,$37500 - $49999,Others,Friends,Sunny,0,22,never,rarely,very often,very often,never,Fast Food,No,1,0,0,1
Male,21,Single,0,College,$75000 - $87499,Home,Alone,Sunny,13,18,sometimes,often,rarely,rarely,never,Coffee House,No,1,0,1,1
Female,21,Partner,0,College,Less than $12500,Others,Partner,Sunny,0,10,sometimes,sometimes,often,sometimes,rarely,Restaurant,No,0,0,0,1
Male,21,Married,0,Bachelors degree,$50000 - $62499,Others,Friends,Sunny,28,14,never,never,often,often,sometimes,Coffee House,No,1,0,0,0
Female,18,Single,0,College,$100000 or More,Others,Friends,Sunny,28,22,never,rarely,sometimes,sometimes,sometimes,Pub,No,1,0,0,1
Female,26,Partner,0,College,$25000 - $37499,Others,Partner,Sunny,28,10,never,rarely,sometimes,sometimes,rarely,Coffee House,No,1,0,0,1
Male,21,Partner,0,Bachelors degree,Less than $12500,Work,Alone,Sunny,13,7,sometimes,rarely,often,sometimes,rarely,Coffee House,No,1,0,0,1
Female,18,Partner,0,College,$25000 - $37499,Others,Partner,Sunny,28,14,never,sometimes,sometimes,often,sometimes,Coffee House,Yes,0,0,0,0
Male,55,Partner,0,High School Graduate,$50000 - $62499,Others,Alone,Sunny,28,22,rarely,rarely,often,sometimes,rarely,Food Court,No,0,0,0,0
Female,21,Partner,0,Bachelors degree,$62500 - $74999,Home,Alone,Rainy,13,18,rarely,never,sometimes,rarely,never,Pub,No,1,1,0,0
Male,21,Single,0,Bachelors degree,$25000 - $37499,Work,Alone,Rainy,13,7,often,never,often,very often,sometimes,Restaurant,No,1,1,0,0
Male,26,Married,1,Bachelors degree,$37500 - $49999,Others,Family,Sunny,13,14,sometimes,very often,often,often,rarely,Coffee House,No,1,0,0,1
Male,46,Married,1,College,$62500 - $74999,Others,Friends,Sunny,28,10,never,sometimes,often,sometimes,sometimes,Coffee House,Yes,0,0,0,1
Female,55,Widowed,1,High School Graduate,$12500 - $24999,Home,Alone,Sunny,0,18,never,never,often,sometimes,,Fast Food,No,0,0,0,1
Male,18,Single,0,College,$62500 - $74999,Work,Alone,Sunny,13,7,never,sometimes,often,sometimes,rarely,Coffee House,No,1,0,0,1
Male,36,Single,0,Bachelors degree,$100000 or More,Home,Alone,Sunny,13,18,rarely,sometimes,very often,very often,sometimes,Restaurant,No,1,0,0,1
Male,31,Married,1,College,$37500 - $49999,Home,Alone,Sunny,28,18,rarely,rarely,rarely,sometimes,rarely,Fast Food,No,0,0,0,1
Male,21,Partner,0,Bachelors degree,$12500 - $24999,Work,Alone,Sunny,28,7,sometimes,often,often,often,never,Fast Food,No,1,1,0,1
Female,31,Married,1,Bachelors degree,$100000 or More,Others,Friends,Sunny,0,22,never,often,often,often,rarely,Fast Food,No,1,0,0,1
Female,31,Married,0,College,$100000 or More,Others,Friends,Sunny,28,18,rarely,rarely,very often,often,rarely,Food Court,Yes,0,0,0,1
Male,31,Married,0,College,$50000 - $62499,Others,Friends,Snowy,0,14,sometimes,sometimes,very often,often,sometimes,Food Court,No,0,0,0,1
Female,31,Partner,1,Associates degree,$50000 - $62499,Others,Family,Sunny,28,14,never,never,often,,never,Food Court,No,0,0,0,1
Male,26,Single,0,Bachelors degree,$75000 - $87499,Home,Alone,Sunny,13,22,never,never,sometimes,sometimes,sometimes,Fast Food,No,1,1,0,0
Female,21,Partner,0,College,$25000 - $37499,Home,Alone,Rainy,13,22,never,never,sometimes,never,never,Coffee House,Yes,0,0,1,1
Male,41,Divorced,1,High School Graduate,$12500 - $24999,Work,Alone,Rainy,13,7,never,rarely,rarely,sometimes,often,Food Court,Yes,0,0,1,0
Female,26,Married,0,Bachelors degree,$50000 - $62499,Others,Partner,Rainy,13,18,never,rarely,sometimes,sometimes,never,Pub,Yes,1,0,0,0
Female,26,Married,0,Graduate degree,$87500 - $99999,Others,Partner,Snowy,0,10,never,often,rarely,often,rarely,Food Court,No,0,0,0,1
Male,55,Partner,1,Associates degree,$50000 - $62499,Home,Alone,Sunny,13,18,never,often,often,sometimes,rarely,Pub,No,0,0,1,0
Male,55,Married,1,College,$50000 - $62499,Home,Alone,Sunny,28,18,never,very often,never,often,rarely,Coffee House,Yes,0,0,0,1
Male,46,Partner,0,College,$12500 - $24999,Others,Alone,Sunny,28,10,never,rarely,sometimes,rarely,rarely,Pub,No,0,0,0,0
Female,55,Single,0,Bachelors degree,Less than $12500,Home,Alone,Sunny,28,18,never,never,rarely,rarely,never,Coffee House,No,0,0,0,0
Male,18,Single,0,College,$50000 - $62499,Others,Friends,Sunny,28,18,never,sometimes,often,often,rarely,Coffee House,Yes,0,0,0,1
Female,21,Partner,0,Bachelors degree,$87500 - $99999,Others,Alone,Sunny,13,14,sometimes,sometimes,sometimes,sometimes,sometimes,Food Court,No,0,0,0,1
Female,21,Partner,0,Graduate degree,$25000 - $37499,Others,Friends,Sunny,28,10,rarely,often,sometimes,,rarely,Coffee House,Yes,0,0,0,1
Male,41,Married,1,College,$100000 or More,Home,Alone,Sunny,0,18,rarely,rarely,sometimes,sometimes,rarely,Fast Food,No,0,0,0,1
Male,36,Partner,0,College,$25000 - $37499,Others,Alone,Sunny,28,10,never,often,often,rarely,rarely,Food Court,Yes,0,0,0,1
Female,46,Married,1,College,$37500 - $49999,Others,Friends,Sunny,28,14,never,rarely,rarely,sometimes,rarely,Food Court,Yes,1,0,0,1
Male,26,Single,1,College,Less than $12500,Home,Alone,Sunny,28,18,never,never,never,sometimes,never,Fast Food,Yes,1,0,1,1
Male,21,Partner,0,College,Less than $12500,Work,Alone,Sunny,0,7,rarely,sometimes,often,often,sometimes,Fast Food,No,1,0,0,1
Female,26,Married,0,Graduate degree,$50000 - $62499,Work,Alone,Sunny,28,7,rarely,rarely,rarely,very often,rarely,Coffee House,Yes,1,0,1,0
Male,26,Single,0,Bachelors degree,$25000 - $37499,Others,Alone,Sunny,0,10,often,often,sometimes,often,sometimes,Fast Food,No,1,0,0,1
Male,55,Married,1,College,$87500 - $99999,Others,Partner,Sunny,28,10,never,never,sometimes,sometimes,rarely,Restaurant,No,0,0,0,0
Female,41,Single,1,Associates degree,$25000 - $37499,Others,Friends,Sunny,13,14,rarely,rarely,often,often,sometimes,Coffee House,No,0,0,0,1
Male,26,Single,1,College,Less than $12500,Home,Partner,Sunny,0,18,never,never,never,sometimes,never,Food Court,No,1,1,0,1
Male,26,Single,0,Graduate degree,$12500 - $24999,Others,Friends,Sunny,28,10,rarely,often,often,sometimes,never,Fast Food,Yes,1,0,0,0
Male,26,Single,0,Bachelors degree,$75000 - $87499,Work,Alone,Sunny,13,7,never,never,sometimes,sometimes,sometimes,Coffee House,No,1,0,0,0
Male,18,Single,0,College,$87500 - $99999,Others,Alone,Rainy,13,10,rarely,very often,sometimes,sometimes,rarely,Coffee House,No,1,0,0,1
Female,18,Single,0,College,$100000 or More,Others,Friends,Snowy,0,14,never,rarely,sometimes,sometimes,sometimes,Food Court,No,0,0,0,1
Female,41,Married,1,Graduate degree,$75000 - $87499,Work,Alone,Snowy,0,7,rarely,sometimes,very often,often,rarely,Food Court,Yes,1,1,0,0
Female,26,Single,1,High School Graduate,Less than $12500,Work,Alone,Sunny,28,7,rarely,rarely,often,sometimes,never,Fast Food,No,1,1,0,0
Female,36,Married,0,Bachelors degree,$25000 - $37499,Others,Alone,Sunny,28,10,rarely,sometimes,often,often,often,Food Court,Yes,0,0,0,1
Female,55,Divorced,1,Graduate degree,$37500 - $49999,Home,Alone,Sunny,28,22,rarely,sometimes,often,sometimes,rarely,Food Court,Yes,0,0,1,0
Male,26,Married,0,Bachelors degree,$50000 - $62499,Home,Alone,Snowy,0,22,never,rarely,sometimes,sometimes,sometimes,Restaurant,Yes,0,0,0,1
Female,36,Partner,0,Graduate degree,$62500 - $74999,Others,Friends,Sunny,13,14,sometimes,very often,often,very often,sometimes,Coffee House,No,0,0,0,1
Female,55,Married,0,College,$25000 - $37499,Others,Friends,Sunny,28,18,never,never,sometimes,often,never,Food Court,No,1,0,0,1
Male,21,Single,0,High School Graduate,$50000 - $62499,Home,Alone,Sunny,28,18,never,sometimes,very often,often,never,Coffee House,No,0,0,0,1
Male,18,Single,0,College,$62500 - $74999,Others,Friends,Sunny,28,18,never,sometimes,sometimes,never,sometimes,Coffee House,Yes,0,0,0,1
Female,31,Single,0,Bachelors degree,$100000 or More,Others,Friends,Sunny,28,10,never,often,very often,often,rarely,Food Court,No,0,0,0,1
Female,41,Married,1,Bachelors degree,$100000 or More,Others,Friends,Snowy,0,22,sometimes,rarely,rarely,sometimes,sometimes,Fast Food,No,1,0,0,0
Female,55,Married,1,College,$37500 - $49999,Home,Alone,Sunny,0,18,never,sometimes,never,sometimes,rarely,Fast Food,Yes,1,0,1,1
Female,21,Married,0,College,Less than $12500,Home,Partner,Sunny,0,22,rarely,very often,often,sometimes,sometimes,Food Court,No,0,0,1,0
Female,31,Married,0,College,$100000 or More,Home,Alone,Sunny,28,18,rarely,rarely,very often,often,rarely,Fast Food,No,0,0,0,0
Female,26,Single,0,Bachelors degree,$87500 - $99999,Others,Alone,Sunny,28,10,very often,rarely,sometimes,sometimes,sometimes,Coffee House,No,0,0,0,0
Male,55,Partner,0,Bachelors degree,$100000 or More,Work,Alone,Sunny,28,7,never,never,sometimes,very often,never,Fast Food,Yes,0,0,1,0
Female,21,Married,1,College,$25000 - $37499,Others,Friends,Sunny,28,10,never,rarely,sometimes,rarely,rarely,Coffee House,Yes,0,0,0,1
Male,26,Partner,0,Bachelors degree,$25000 - $37499,Others,Friends,Sunny,28,18,sometimes,never,often,never,sometimes,Coffee House,No,0,0,0,0
Male,21,Single,0,Bachelors degree,$100000 or More,Work,Alone,Sunny,13,7,often,very often,often,very often,sometimes,Coffee House,Yes,1,0,0,0
Male,36,Married,1,College,$50000 - $62499,Others,Family,Sunny,13,18,rarely,sometimes,often,sometimes,sometimes,Coffee House,Yes,1,0,0,0
Female,31,Married,1,Associates degree,$37500 - $49999,Others,Family,Sunny,28,10,never,sometimes,sometimes,sometimes,sometimes,Coffee House,Yes,0,0,0,0
Male,36,Single,0,College,$37500 - $49999,Home,Alone,Sunny,28,22,rarely,sometimes,often,sometimes,rarely,Fast Food,No,0,0,1,1
Male,55,Married,1,Bachelors degree,$87500 - $99999,Home,Alone,Sunny,13,18,never,never,rarely,sometimes,rarely,Restaurant,No,1,0,0,1
Female,55,Married,1,Graduate degree,$100000 or More,Others,Friends,Sunny,13,14,often,very often,often,often,often,Coffee House,No,0,0,0,1
Male,41,Married,0,Graduate degree,$37500 - $49999,Others,Partner,Sunny,28,14,rarely,rarely,very often,very often,often,Coffee House,Yes,0,0,0,0
Female,26,Single,1,College,$37500 - $49999,Work,Alone,Sunny,28,7,sometimes,never,sometimes,sometimes,sometimes,Fast Food,No,1,1,0,1
Female,55,Single,1,Bachelors degree,$12500 - $24999,Home,Alone,Sunny,28,22,never,sometimes,often,rarely,rarely,Restaurant,No,0,0,0,0
Male,21,Single,0,College,$12500 - $24999,Work,Alone,Sunny,28,7,never,never,sometimes,sometimes,rarely,Restaurant,Yes,0,0,1,0
Male,46,Single,0,College,$12500 - $24999,Others,Friends,Sunny,28,10,never,often,sometimes,sometimes,never,Pub,No,0,0,0,0
Male,21,Single,0,Bachelors degree,$62500 - $74999,Others,Friends,Sunny,13,14,never,rarely,often,often,rarely,Fast Food,No,1,0,0,1
Male,31,Married,1,College,$37500 - $49999,Others,Family,Sunny,28,10,rarely,rarely,rarely,sometimes,rarely,Coffee House,No,0,0,0,1
Female,26,Partner,0,Bachelors degree,$62500 - $74999,Home,Alone,Sunny,28,18,sometimes,very often,very often,very often,very often,Coffee House,No,0,0,0,0
Female,26,Single,1,Associates degree,$25000 - $37499,Others,Friends,Sunny,28,10,never,sometimes,often,sometimes,rarely,Fast Food,Yes,1,0,0,1
Male,31,Married,0,Bachelors degree,$75000 - $87499,Home,Alone,Rainy,13,22,sometimes,sometimes,often,often,often,Coffee House,Yes,0,0,1,0
Male,46,Partner,1,Bachelors degree,$62500 - $74999,Others,Friends,Sunny,28,10,never,rarely,often,sometimes,never,Coffee House,Yes,0,0,0,1
Male,31,Single,0,College,$50000 - $62499,Home,Alone,Sunny,28,18,sometimes,often,often,often,sometimes,Fast Food,Yes,1,0,1,1
Male,41,Married,1,College,$25000 - $37499,Home,Alone,Sunny,13,18,never,sometimes,very often,often,rarely,Pub,No,0,0,1,0
Male,18,Single,0,College,$87500 - $99999,Work,Alone,Sunny,28,7,never,often,,often,rarely,Fast Food,No,1,1,0,1
